id,baslik,url,metin,kitap_adi,yayin_yili,donem,metin_uzunluk,kelime_sayisi
329,Hatırla Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/hatirla-siiri/,,,,Belirsiz,0,0
330,Siyah Mermer İşleyenler,https://www.antoloji.com/siyah-mermer-isleyenler-siiri/,,,,Belirsiz,0,0
331,Mavi Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/mavi-10-siiri/,,,,Belirsiz,0,0
332,To Be Or Not To Be Şiiri - Ümit Yaşar Oğ ...,https://www.antoloji.com/to-be-or-not-to-be-siiri/,,,,Belirsiz,0,0
333,Resimler Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/resimler-siiri/,,,,Belirsiz,0,0
334,Resim Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/resim-4-siiri/,,,,Belirsiz,0,0
335,Uzak Işıklar Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/uzak-isiklar-siiri/,,,,Belirsiz,0,0
336,Kanser Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kanser-siiri/,,,,Belirsiz,0,0
337,Her Sabah Seninle Başlar,https://www.antoloji.com/her-sabah-seninle-baslar-siiri/,,,,Belirsiz,0,0
338,Kan Denizi Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kan-denizi-siiri/,,,,Belirsiz,0,0
339,Mahşer Günü Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/mahser-gunu-siiri/,,,,Belirsiz,0,0
340,Karanlıkta Erimek Şiiri - Ümit Yaşar Oğu ...,https://www.antoloji.com/karanlikta-erimek-siiri/,,,,Belirsiz,0,0
341,Kirli Çağ Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kirli-cag-siiri/,,,,Belirsiz,0,0
342,Kırmızı Fener Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kirmizi-fener-siiri/,,,,Belirsiz,0,0
343,Böyledir Akşamları İstanbul'un,https://www.antoloji.com/boyledir-aksamlari-istanbul-un-siiri/,,,,Belirsiz,0,0
344,Alışkanlık Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/aliskanlik-76-siiri/,,,,Belirsiz,0,0
345,Mustafa Kemal'i Düşünüyorum,https://www.antoloji.com/mustafa-kemal-i-dusunuyorum-3-siiri/,,,,Belirsiz,0,0
346,Türk İnsanlığı Şiiri - Önder Karaçay,https://www.antoloji.com/turk-insanligi-siiri/,,E-Kitap,,Belirsiz,0,0
347,Yaşam İnsana Ektiğini Biçtirir,https://www.antoloji.com/yasam-insana-ektigini-bictirir-siiri/,,E-Kitap,,Belirsiz,0,0
348,Kutlu olsun Şiiri - Ahmet Arslan Hadimi,https://www.antoloji.com/kutlu-olsun-79-siiri/,,,,Belirsiz,0,0
349,Sensiz Şehirler Şiiri - Kudret Kobal,https://www.antoloji.com/sensiz-sehir-7-siiri/,,E-Kitap,,Belirsiz,0,0
350,Davet*,https://www.antoloji.com/davet-300-siiri/,,,,Belirsiz,0,0
